Email ID,Sender,Email Summary,Issue Type,Ideal Reply
001,Help MocoQueen <help@mocoqueen.com>,"Dear Tayla,  Thank you very much for taking the time to share your experience with us.We sincerely apologize for the disappointment and inconvenience",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
002,Help MocoQueen <help@mocoqueen.com>,"Dear Abigail,  We have processed a refund for your order. The refund will be credited back to the original payment method used for your purchase.  Typ",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
003,Help MocoQueen <help@mocoqueen.com>,"Dear  Maryuri,  You're very welcome, and thank you again for your kind response! 😊 I’m happy to share a quick update regarding your order.  To make su",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
004,Help MocoQueen <help@mocoqueen.com>,"Dear Nicole,  Thank you so much for your message, and for sharing your prescription with us!  Based on the prescription you provided — *OD (Right Eye)",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
005,Help MocoQueen <help@mocoqueen.com>,"Dear Hurricane,  Thank you so much for reaching out to us. I truly understand your concern, and I’m really sorry that the lack of updates has caused y",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
006,Help MocoQueen <help@mocoqueen.com>,"Dear,  Thank you for your email.  Our shipping details at this time are as follows：  Order Processing: 1 Business Day USPS Standard Delivery Time (US)",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
007,Help MocoQueen <help@mocoqueen.com>,"Dear Arii,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have experie",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
008,Help MocoQueen <help@mocoqueen.com>,"My pleasure💗💗🙏🙏  On Mon, May 19, 2025 at 4:56 PM Alexandra Snowden < snowdenalexandra04@gmail.com> wrote:  > Thank you for your help! > > On Mon, May",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
009,Help MocoQueen <help@mocoqueen.com>,"Dear Dluax,  Thank you so much for your reply, and we’re so sorry for the delay in getting back to you! 💌  Unfortunately, we didn’t receive your messa",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
010,Help MocoQueen <help@mocoqueen.com>,"Dear Jess,  Thank you so much for your kind words and for taking the time to reach out to us! 😊 We’re always happy to help, and we completely understa",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
011,Help MocoQueen <help@mocoqueen.com>,"Dear Angelika,  We apologize for the inconvenience you're experiencing with one of our contact lenses. We're here to help resolve the issue.  To addre",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
012,Help MocoQueen <help@mocoqueen.com>,"Dear April,  Thank you for reaching out to us.Your inquiry has been addressed in the email we sent previously.  Please check your inbox for our respon",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
013,Help MocoQueen <help@mocoqueen.com>,"Dear Quan,  Thank you so much for your message, and we truly appreciate your patience!  I’d like to kindly reassure you that seeing the status marked",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
014,Help MocoQueen <help@mocoqueen.com>,"Dear Xiom,  Thank you so much for your decision to retain your order with us. We greatly appreciate your understanding and continued support!  As a to",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
015,Help MocoQueen <help@mocoqueen.com>,"Dear Claire,  Thank you so much for your understanding and prompt response! 😊  We truly appreciate your support, and as requested, here is your $15 co",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
016,Help MocoQueen <help@mocoqueen.com>,"Dear Sand,  Thank you so much for your kind understanding — we truly appreciate it! 💛 No worries at all about opening the lenses; we completely unders",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
017,Help MocoQueen <help@mocoqueen.com>,"Dear Daisy,  We have processed a refund for your order. The refund will be credited back to the original payment method used for your purchase.  Typic",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
018,Help MocoQueen <help@mocoqueen.com>,"Dear Ellie,  I understand that you would like to cancel your order with the order number 135315. To assist you further, may I ask for the reason you w",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
019,Help MocoQueen <help@mocoqueen.com>,"Dear Marie,  I hope this email finds you well 😊.  We recently reached out regarding your request to cancel your order. As mentioned in our previous em",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
